City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
137,mu'minobod,38.1085,70.0285,6.35,88,99,0.5,TJ,1731193629
138,bel ombre,-4.6167,55.4167,27.37,75,59,2.66,SC,1731193630
139,coahuayana de hidalgo,18.7,-103.6583,28.75,68,14,2.34,MX,1731193605
140,tillaberi,14.2117,1.4531,26.19,16,1,4.46,NE,1731193632
141,haiku-pauwela,20.9219,-156.3051,27.01,67,40,12.96,US,1731193634
142,linjiang,41.8069,126.9078,4.89,87,65,1.03,CN,1731193418
143,chonchi,-42.6128,-73.8092,11.18,81,46,1.76,CL,1731193636
144,lihue,21.9789,-159.3672,27.77,77,75,7.2,US,1731193637
145,shortandy,51.7006,70.9994,-2.32,95,100,11.52,KZ,1731193638
146,arawa,-6.2132,155.5367,28.31,74,74,2.88,PG,1731193640
147,longyearbyen,78.2186,15.6401,-4.09,74,75,4.12,SJ,1731193393
148,anadyr,64.75,177.4833,-4.72,92,20,0.89,RU,1731193641
149,mathis,28.0945,-97.828,29.2,43,0,3.1,US,1731193646
150,howrah,22.5892,88.3103,23.0,88,0,0.0,IN,1731193647
151,sarupathar,26.1984,93.8094,17.74,91,0,0.81,IN,1731193649
152,yuzhno-kurilsk,44.0306,145.8556,7.81,70,23,0.85,RU,1731193650
153,khlevnoye,52.1951,39.0932,2.65,90,47,3.99,RU,1731193652
154,miquelon,47.0975,-56.3814,4.02,69,92,15.89,PM,1731193653
155,ribeira grande,38.5167,-28.7,20.99,97,100,3.13,PT,1731193654
156,udachny,66.4167,112.4,-15.53,92,100,3.29,RU,1731193655
157,qurayyat,31.3318,37.3428,13.1,58,0,3.09,SA,1731193656
158,petropavlovka,50.6114,105.3196,-10.71,96,88,1.11,RU,1731193657
159,aflou,34.1128,2.1023,10.72,84,52,5.88,DZ,1731193658
160,lodja,-3.4833,23.4333,20.86,94,100,1.38,CD,1731193660
161,mushie,-3.0167,16.9,21.19,99,100,2.18,CD,1731193661
162,afaahiti,-17.75,-149.2833,24.62,89,85,6.1,PF,1731193662
163,petropavlovsk-kamchatsky,53.0452,158.6483,-8.67,67,75,4.0,RU,1731193663
164,oum hadjer,13.2954,19.6966,24.75,19,61,4.44,TD,1731193664
165,najran,17.4924,44.1277,16.22,42,0,0.95,SA,1731193646
166,chernyshevskiy,63.0128,112.4714,-10.48,92,100,4.48,RU,1731193668
167,kismayo,-0.3582,42.5454,26.55,80,13,4.62,SO,1731193669
168,cockburn town,21.4612,-71.1419,27.52,79,26,2.02,TC,1731193670
169,kavaratti,10.5669,72.642,27.91,71,5,0.64,IN,1731193671
170,isafjordur,66.0755,-23.124,4.63,95,100,2.77,IS,1731193650
171,aasiaat,68.7098,-52.8699,-6.01,92,100,0.54,GL,1731193674
172,murun-kuren,49.6342,100.1625,-6.49,55,100,1.06,MN,1731193677
173,kapuskasing,49.4169,-82.4331,4.41,67,17,5.52,CA,1731193678
174,hasaki,35.7333,140.8333,18.0,75,98,6.1,JP,1731193542
175,dazkiri,37.9186,29.8606,1.8,43,100,1.42,TR,1731193680
176,el bauga,18.262,33.9081,26.97,39,1,5.28,SD,1731193682
177,brazzaville,-4.2658,15.2832,22.26,95,100,0.79,CG,1731193683
178,utrik,11.2278,169.8474,28.37,79,88,10.09,MH,1731193684
179,pacific grove,36.6177,-121.9166,20.2,56,0,3.13,US,1731193685
180,karratha,-20.7377,116.8463,29.14,22,77,4.07,AU,1731193687
181,kuching,1.55,110.3333,26.1,99,20,0.0,MY,1731193589
182,sultanah,24.4926,39.5857,27.25,22,0,3.09,SA,1731193689
183,colonia,50.9333,6.95,9.51,89,100,3.6,DE,1731193691
184,kingston,17.997,-76.7936,25.09,93,99,0.61,JM,1731193655
185,luderitz,-26.6481,15.1594,14.2,93,56,4.27,NA,1731193693
186,voi,-3.3945,38.563,22.6,86,31,3.53,KE,1731193694
187,naze,28.3667,129.4833,23.88,82,99,7.53,JP,1731193695
188,mitu,1.1983,-70.1733,23.84,98,100,0.94,CO,1731193696
189,timmins,48.4669,-81.3331,4.9,48,40,4.63,CA,1731193550
190,sola,-13.8833,167.55,26.48,78,37,8.11,VU,1731193698
191,aykhal,66.0,111.5,-15.16,92,100,6.43,RU,1731193700
192,hilo,19.7297,-155.09,27.83,76,40,1.34,US,1731193409
193,nicoya,10.1483,-85.452,22.96,96,100,0.85,CR,1731193702
194,kodiak,57.79,-152.4072,3.73,87,100,10.8,US,1731193690
195,masingbi,8.7833,-11.95,23.85,71,74,0.47,SL,1731193704
196,willowmore,-33.2926,23.4895,13.63,77,99,6.68,ZA,1731193705
197,eraan,9.0629,117.7016,26.63,86,25,0.94,PH,1731193706
198,la passe,45.5549,-0.8967,14.72,92,21,3.05,FR,1731193707
199,buka,40.8108,69.1986,6.99,65,25,1.65,UZ,1731193709
200,zhuji,29.7188,120.2423,16.39,97,100,1.23,CN,1731193711
201,coron,11.9986,120.2043,26.27,86,11,1.16,PH,1731193712
202,tabou,4.423,-7.3528,25.38,88,98,3.45,CI,1731193714
203,kropp,54.4167,9.5167,5.03,90,100,1.54,DE,1731193715
204,vorgashor,67.5833,63.95,-11.33,87,77,7.84,RU,1731193716
205,dryden,49.7833,-92.7503,8.12,65,71,4.81,CA,1731193717
206,ugoofaaru,5.6667,73.0,27.29,75,51,0.81,MV,1731193486
207,pimenta bueno,-11.6725,-61.1936,25.19,82,69,1.97,BR,1731193720
208,hit,33.6416,42.8251,19.52,27,100,2.98,IQ,1731193721
209,fort st. john,56.2499,-120.8529,1.22,71,67,1.23,CA,1731193722
210,nemuro,43.3236,145.575,6.49,79,43,4.39,JP,1731193724
211,bisert',56.8617,59.0523,1.11,97,100,5.4,RU,1731193725
212,st. john's,47.5649,-52.7093,4.43,93,100,16.09,CA,1731193726
213,praia da vitoria,38.7333,-27.0667,18.95,94,96,3.22,PT,1731193727
214,ouarzazat,30.9189,-6.8934,18.87,33,100,2.07,MA,1731193729
215,petrozavodsk,61.7849,34.3469,-0.17,87,11,3.69,RU,1731193731
216,talnakh,69.4865,88.3972,-20.65,96,41,2.35,RU,1731193732
217,namibe,-15.1961,12.1522,21.01,68,94,4.97,AO,1731193662
218,gazipasa,36.2694,32.3179,17.05,45,0,2.57,TR,1731193734
219,callao,-12.0667,-77.15,23.18,68,0,7.2,PE,1731193736
220,sinop,41.7711,34.8709,5.42,90,4,3.02,TR,1731193738
221,vadso,70.0744,29.7487,3.09,70,100,6.17,NO,1731193739
222,charters towers,-20.1,146.2667,28.29,51,23,6.97,AU,1731193340
223,sompeta,18.9333,84.6,22.69,83,0,3.11,IN,1731193741
224,ponnani,10.767,75.9252,23.98,80,100,3.06,IN,1731193744
225,dickinson,29.4608,-95.0513,25.59,85,75,4.63,US,1731193745
226,kovur,14.4833,79.9833,24.71,80,74,2.27,IN,1731193747
227,ziguinchor,12.5833,-16.2719,24.18,50,1,1.45,SN,1731193748
228,kavalerovo,44.2661,135.0572,2.49,83,4,0.86,RU,1731193749
229,east london,-33.0153,27.9116,17.28,80,16,1.96,ZA,1731193579
230,saipan,15.1355,145.701,29.39,82,20,6.69,MP,1731193585
231,bamboo flat,11.7,92.7167,26.53,81,99,2.58,IN,1731193752
232,atar,20.5169,-13.0499,25.52,14,53,3.01,MR,1731193753
233,nurdagi,37.1773,36.7419,13.88,31,72,3.26,TR,1731193754
234,alotau,-10.3069,150.4462,28.49,73,100,2.49,PG,1731193325
235,port alfred,-33.5906,26.891,16.61,75,31,1.82,ZA,1731193757
236,williston,48.147,-103.618,13.35,48,97,0.83,US,1731193758
237,priozersk,61.0393,30.1291,1.72,91,11,3.01,RU,1731193759
238,burumburum,11.3911,8.7234,19.96,29,41,2.37,NG,1731193760
239,mossel bay,-34.1831,22.146,16.9,84,64,7.1,ZA,1731193761
240,san rafael del sur,11.8485,-86.4384,24.38,91,100,1.96,NI,1731193762
241,ribadesella,43.4614,-5.0596,16.13,79,100,0.77,ES,1731193764
242,touros,-5.1989,-35.4608,25.7,76,15,5.49,BR,1731193765
243,kirensk,57.7853,108.1119,-7.87,93,100,3.27,RU,1731193766
244,vanimo,-2.6741,141.3028,28.05,78,34,1.37,PG,1731193768
245,nuku'alofa,-21.1333,-175.2,26.19,83,20,5.66,TO,1731193119
246,monrovia,6.3005,-10.7969,26.86,78,100,2.67,LR,1731193770
247,port blair,11.6667,92.75,27.09,80,99,2.74,IN,1731193771
248,lebu,-37.6167,-73.65,12.79,79,100,3.01,CL,1731193772
249,sao vicente,-23.9631,-46.3919,19.99,26,99,1.5,BR,1731193774
250,paracuru,-3.41,-39.0306,25.76,81,9,5.8,BR,1731193775
251,puerto baquerizo moreno,-0.9,-89.6,21.08,73,46,4.81,EC,1731193776
252,cabinda,-5.55,12.2,25.07,89,100,1.55,AO,1731193777
253,dingli,35.8614,14.3822,17.12,77,20,2.06,MT,1731193778
254,wenling,28.3669,121.36,19.07,86,96,2.57,CN,1731193268
255,burela de cabo,43.65,-7.4,13.11,92,100,2.77,ES,1731193783
256,brookings,44.3114,-96.7984,8.0,97,100,5.66,US,1731193784
257,papao,-17.75,-149.55,28.82,92,68,6.94,PF,1731193320
